  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
---------  ----------  ----------------  ---------------  ---------------------  -----------------------
        1         361                34  ((....))....     0.544638247212         0.668467491199
        2         360                34  ((....))....     0.558999484852         0.684631707248
        3         344                31  ((......))..     0.681634170857         0.73257236323
        4         221                17  (((....)))..     0.777483098659         0.786707348353
        5           3                 2  ...((....)).     0.692601104765         0.716317006455
        6         211                16  .((....))...     0.695747129431         0.704217399652
        7         217                17  (((....)))..     0.774739133799         0.771399504532
        8         135                10  ..((....))..     0.696185078864         0.721460536849
        9         356                33  ((.....))...     0.690484481753         0.730062030681
       10         345                31  ((......))..     0.677293593156         0.728963154124
       11         234                19  .((......)).     0.687842704375         0.730095255009
       12          14                 3  ..(((....)))     0.76754971182          0.773564328686
       13         362                34  ((....))....     0.677507722451         0.719482390527
       14         219                17  (((....)))..     0.788916651466         0.788854970424
       15          87                 6  .(((....))).     0.762104834797         0.780960207751
       16         222                17  (((....)))..     0.784645972031         0.788773814613
       17           9                 3  ..(((....)))     0.758998516851         0.760735009549
       18          83                 6  .(((....))).     0.767506672079         0.780543963158
       19         220                17  (((....)))..     0.790455194557         0.772398299395
       20         149                12  ..((.....)).     0.703696655068         0.732247294021
       21         218                17  (((....)))..     0.789351239508         0.788175813207
       22         264                22  (((.....))).     0.762484780225         0.768984262811
       23           4                 2  ...((....)).     0.6798949345           0.711658675985
       24         257                21  .((.....))..     0.703862501489         0.743905838079
       25           6                 2  ...((....)).     0.692174811761         0.728049461098
       26         262                22  (((.....))).     0.762338103323         0.775113750503
       27         351                32  ((.......)).     0.707286710198         0.746360848938
       28          81                 6  .(((....))).     0.78011796049          0.783583773137
       29         359                33  ((.....))...     0.707621135936         0.735192608763
       30         282                23  (((...)))...     0.741791875608         0.733944052283
       31         223                17  (((....)))..     0.776448751167         0.754817117236
       32         216                17  (((....)))..     0.769640999147         0.76674027823
       33         278                23  (((...)))...     0.738387369679         0.741122386372
       34          86                 6  .(((....))).     0.782963555254         0.789182002737
       35         136                10  ..((....))..     0.69261429589          0.729475652035
       36         212                16  .((....))...     0.717746136578         0.722721792482
       37         210                16  .((....))...     0.711438230036         0.740355003429
       38          82                 6  .(((....))).     0.783814196383         0.789689081185
       39         261                22  (((.....))).     0.790738642214         0.784952948989
       40         263                22  (((.....))).     0.778885108489         0.780935598712
       41         171                14  .(((...)))..     0.744831864496         0.751834233509
       42         245                20  (((......)))     0.771761212164         0.774139001076
       43          26                 4  ..(((...))).     0.758405162576         0.764700361985
       44         246                20  (((......)))     0.760996070736         0.759788449026
       45          85                 6  .(((....))).     0.776207852764         0.773349956433
       46         153                13  .(((.....)))     0.767124463722         0.77253659749
       47         134                10  ..((....))..     0.693434959443         0.733421442346
       48         346                31  ((......))..     0.732816814327         0.738105107679
       49         157                13  .(((.....)))     0.756984357782         0.75939789455
       50          88                 6  .(((....))).     0.778186273122         0.778818054316
       51         175                14  .(((...)))..     0.756534359896         0.747984939592
       52         233                19  .((......)).     0.737806974077         0.757378537952
       53          27                 4  ..(((...))).     0.761096947643         0.764995226421
       54          13                 3  ..(((....)))     0.759027253951         0.759128193168
       55          84                 6  .(((....))).     0.796230244694         0.795243149397
       56         266                22  (((.....))).     0.79805687776          0.800048021085
       57         235                19  .((......)).     0.752811825193         0.751707734251
       58          11                 3  ..(((....)))     0.754835988639         0.758268990024
       59         267                22  (((.....))).     0.777546247881         0.78177251482
       60          18                 3  ..(((....)))     0.719702971345         0.745369631559
       61         357                33  ((.....))...     0.736105679344         0.75634524257
       62         265                22  (((.....))).     0.7906436709           0.78158609367
       63         150                12  ..((.....)).     0.724239266234         0.747044006833
       64         260                22  (((.....))).     0.804583562634         0.803374524953
       65          16                 3  ..(((....)))     0.679872989391         0.729172744714
       66          12                 3  ..(((....)))     0.675015497966         0.704259426564
       67         148                12  ..((.....)).     0.759489528185         0.760863004199
       68         156                13  .(((.....)))     0.793781455965         0.799575049416
       69         247                20  (((......)))     0.801685236484         0.810769052462
       70           1                 1  ....((....))     0.650111646164         0.722381841949
       71         258                21  .((.....))..     0.743177510752         0.750543333784
       72         240                20  (((......)))     0.806326494775         0.809471246344
       73           0                 1  ....((....))     0.667091383158         0.702260559067
